"mturk_id","trial_type","stim_type","train_type","category_type","dimension","z"
89,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.161043598261722
89,"XAB","HD","TRAIN","WITHIN","shape-relevant",-0.0876243270947157
90,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.31355992581367
90,"XAB","HD","TRAIN","WITHIN","shape-relevant",-0.16577710363531
91,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.631176631933309
91,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.255517931346653
92,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.762936410812088
92,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.463425512445168
93,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.00355391220264467
93,"XAB","HD","TRAIN","WITHIN","shape-relevant",-0.481130412483324
94,"XAB","HD","CONTROL","BETWEEN","shape-relevant",-0.16577710363531
94,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.239544649207577
95,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.422830873056367
95,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.465893924093396
96,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",-0.366783918100022
96,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.459989630215305
97,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.88019515528691
97,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.930909615209345
98,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",0.349184927863767
98,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.167903683110081
99,"XAB","HD","TRAIN","BETWEEN","shape-relevant",-0.189743955107759
99,"XAB","HD","TRAIN","WITHIN","shape-relevant",-0.269980805689437
100,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.133808539770302
100,"XAB","HD","CONTROL","WITHIN","shape-relevant",-0.0876243270947157
101,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.438380802696401
101,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.650898539514224
102,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",-0.175299736261332
102,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.357475636318808
103,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.98162407513178
103,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.64352767564888
104,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.170192716372819
104,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",-0.167903683110081
105,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",-0.515744732215917
105,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.108488487526985
106,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.121893230732405
106,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.64352767564888
107,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",-0.0326651233169206
107,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.0252942594515764
108,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.516462079386965
108,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.207519628688929
109,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.959084315166253
109,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.349184927863767
110,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.0434065665667318
110,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",-0.219918513799758
111,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.670909224876815
111,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.479778739614681
112,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.27162163621769
112,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.282891516200453
113,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.395590316028086
113,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.170192716372819
114,"XAB","LD","CONTROL","BETWEEN","shape-relevant",-0.0876243270947157
114,"XAB","LD","CONTROL","WITHIN","shape-relevant",-0.525279875722046
115,"XAB","HD","CONTROL","BETWEEN","shape-relevant",-0.0437236933589496
115,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.351689007701657
116,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.498090597765941
116,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.353272642642973
117,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.229675945660098
117,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.00355391220264467
118,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.16804534669583
118,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.320489050439939
119,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.565211866274385
